id,gsm_out,lte,nr_dss,nr_nsa_sa,nr_gesamt
100mN58750E4926,3,3,2,3,3
100mN58750E4927,3,3,2,3,3
100mN58750E4928,3,3,2,3,3
100mN58750E4929,3,3,2,3,3
100mN58750E4930,3,3,2,3,3
100mN58750E4931,3,3,2,3,3
100mN58750E4932,3,3,2,3,3
100mN58750E4933,3,3,2,3,3
100mN58750E4934,3,3,2,3,3
100mN58750E4935,3,3,2,3,3
100mN58750E4936,3,3,2,3,3
100mN58750E4937,3,3,2,3,3
100mN58750E4938,3,3,2,3,3
100mN58750E4939,3,3,2,3,3
100mN58750E4940,3,3,2,3,3
100mN58750E4941,3,3,2,3,3
100mN58750E4942,3,3,2,3,3
100mN58750E4943,3,3,2,3,3
100mN58750E4944,3,3,2,3,3
100mN58750E4945,3,3,2,3,3
100mN58750E4946,3,3,2,3,3
100mN58750E4947,3,3,2,3,3
100mN58750E4948,3,3,2,3,3
100mN58750E4949,3,3,2,3,3
100mN58750E4950,3,3,2,3,3
100mN58750E4951,3,3,2,3,3
100mN58750E4952,3,3,2,3,3
100mN58750E4953,3,3,2,3,3
100mN58750E4954,3,3,2,3,3
100mN58750E4955,3,3,2,3,3
100mN58750E4956,3,3,2,3,3
100mN58750E4957,3,3,2,3,3
100mN58750E4958,3,3,2,3,3
100mN58750E4959,3,3,2,3,3
100mN58750E4960,3,3,2,3,3
100mN58750E4961,3,3,2,3,3
100mN58750E4962,3,3,2,3,3
100mN58750E4963,3,3,2,3,3
100mN58751E4877,3,3,2,2,3
100mN58751E4878,3,3,2,2,3
100mN58751E4879,3,3,2,2,3
100mN58751E4880,3,3,2,2,3
100mN58751E4881,3,3,2,3,3
100mN58751E4882,3,3,2,3,3
100mN58751E4883,3,3,2,3,3
100mN58751E4884,3,3,2,3,3
100mN58751E4885,3,3,2,3,3
100mN58751E4886,3,3,2,3,3
100mN58751E4887,3,3,2,3,3
100mN58751E4888,3,3,2,3,3
100mN58751E4889,3,3,2,3,3
